                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 40.228,                      0,                      0,                      0,                      0,                      0,                      0,                 41.337,                      0,                      0,                      0,                      0
                      2,                      0,                 40.038,                      0,                      0,                      0,                      0,                      0,                      0,                 41.343,                      0,             1.2253e-05,             1.2253e-05,             1.2253e-05
                      3,                      0,                 40.064,                      0,                      0,                      0,                      0,                      0,                      0,                 41.343,                      0,              2.401e-05,              2.401e-05,              2.401e-05
                      4,                      0,                 40.098,                      0,                      0,                      0,                      0,                      0,                      0,                 41.347,                      0,             3.5272e-05,             3.5272e-05,             3.5272e-05
                      5,                      0,                 39.973,                      0,                      0,                      0,                      0,                      0,                      0,                  41.35,                      0,              4.604e-05,              4.604e-05,              4.604e-05
                      6,                      0,                 39.919,                      0,                      0,                      0,                      0,                      0,                      0,                 41.351,                      0,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      7,                      0,                 39.835,                      0,                      0,                      0,                      0,                      0,                      0,                 41.353,                      0,              6.609e-05,              6.609e-05,              6.609e-05
                      8,                      0,                 39.761,                      0,                      0,                      0,                      0,                      0,                      0,                 41.355,                      0,             7.5373e-05,             7.5373e-05,             7.5373e-05
                      9,                      0,                 39.603,                      0,                      0,                      0,                      0,                      0,                      0,                 41.355,                      0,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                      0,                 39.594,                      0,                      0,                      0,                      0,                      0,                      0,                 41.356,                      0,             9.2453e-05,             9.2453e-05,             9.2453e-05
                     11,                      0,                 39.366,                      0,                      0,                      0,                      0,                      0,                      0,                 41.357,                      0,             0.00010025,             0.00010025,             0.00010025
                     12,                      0,                 39.204,                      0,                      0,                      0,                      0,                      0,                      0,                 41.359,                      0,             0.00010755,             0.00010755,             0.00010755
                     13,                      0,                 39.109,                      0,                      0,                      0,                      0,                      0,                      0,                  41.36,                      0,             0.00011436,             0.00011436,             0.00011436
                     14,                      0,                 38.988,                      0,                      0,                      0,                      0,                      0,                      0,                 41.361,                      0,             0.00012067,             0.00012067,             0.00012067
                     15,                      0,                 38.874,                      0,                      0,                      0,                      0,                      0,                      0,                 41.362,                      0,             0.00012649,             0.00012649,             0.00012649
                     16,                      0,                 38.742,                      0,                      0,                      0,                      0,                      0,                      0,                 41.365,                      0,             0.00013181,             0.00013181,             0.00013181
                     17,                      0,                 38.663,                      0,                      0,                      0,                      0,                      0,                      0,                 41.367,                      0,             0.00013664,             0.00013664,             0.00013664
                     18,                      0,                 38.475,                      0,                      0,                      0,                      0,                      0,                      0,                 41.367,                      0,             0.00014097,             0.00014097,             0.00014097
                     19,                      0,                 38.445,                      0,                      0,                      0,                      0,                      0,                      0,                 41.378,                      0,             0.00014481,             0.00014481,             0.00014481
                     20,                      0,                  38.34,                      0,                      0,                      0,                      0,                      0,                      0,                 41.378,                      0,             0.00014815,             0.00014815,             0.00014815
                     21,                      0,                 38.358,                      0,                      0,                      0,                      0,                      0,                      0,                 41.389,                      0,               0.000151,               0.000151,               0.000151
                     22,                      0,                 38.216,                      0,                      0,                      0,                      0,                      0,                      0,                 41.389,                      0,             0.00015335,             0.00015335,             0.00015335
                     23,                      0,                 38.214,                      0,                      0,                      0,                      0,                      0,                      0,                   41.4,                      0,             0.00015521,             0.00015521,             0.00015521
                     24,                      0,                 38.098,                      0,                      0,                      0,                      0,                      0,                      0,                   41.4,                      0,             0.00015657,             0.00015657,             0.00015657
                     25,                      0,                 38.096,                      0,                      0,                      0,                      0,                      0,                      0,                  41.41,                      0,             0.00015744,             0.00015744,             0.00015744
                     26,                      0,                 37.915,                      0,                      0,                      0,                      0,                      0,                      0,                  41.41,                      0,             0.00015781,             0.00015781,             0.00015781
                     27,                      0,                  37.92,                      0,                      0,                      0,                      0,                      0,                      0,                  41.42,                      0,             0.00015769,             0.00015769,             0.00015769
                     28,                      0,                 37.787,                      0,                      0,                      0,                      0,                      0,                      0,                  41.42,                      0,             0.00015707,             0.00015707,             0.00015707
                     29,                      0,                 37.755,                      0,                      0,                      0,                      0,                      0,                      0,                  41.43,                      0,             0.00015596,             0.00015596,             0.00015596
                     30,                      0,                 37.607,                      0,                      0,                      0,                      0,                      0,                      0,                  41.43,                      0,             0.00015435,             0.00015435,             0.00015435
                     31,                      0,                 37.584,                      0,                      0,                      0,                      0,                      0,                      0,                  41.44,                      0,             0.00015225,             0.00015225,             0.00015225
                     32,                      0,                 37.455,                      0,                      0,                      0,                      0,                      0,                      0,                  41.44,                      0,             0.00014965,             0.00014965,             0.00014965
                     33,                      0,                 37.485,                      0,                      0,                      0,                      0,                      0,                      0,                 41.449,                      0,             0.00014656,             0.00014656,             0.00014656
                     34,                      0,                 37.343,                      0,                      0,                      0,                      0,                      0,                      0,                 41.449,                      0,             0.00014297,             0.00014297,             0.00014297
                     35,                      0,                 37.293,                      0,                      0,                      0,                      0,                      0,                      0,                 41.459,                      0,             0.00013889,             0.00013889,             0.00013889
